merchant_id,total_transactions,total_revenue,avg_transaction,refund_count,failed_transactions
2600,2,81.59,40.795,0,0
2611,5,36.64,7.328,0,0
2618,2,255.71999999999997,127.85999999999999,0,0
2620,3,13.32,4.44,0,0
2645,1,54.3,54.3,0,0
2651,2,125.53,62.765,0,0
2669,1,120.99,120.99,0,0
2673,1,3.12,3.12,0,0
2680,2,146.49,73.245,0,0
2703,31,840.07,27.09903225806452,0,1
2709,1,9.9,9.9,0,0
2716,1,24.79,24.79,0,0
2728,2,163.08999999999997,81.54499999999999,0,0
2729,1,49.65,49.65,0,0
2734,4,204.07999999999998,51.019999999999996,0,0
2739,1,13.32,13.32,0,0
2757,3,130.89,43.629999999999995,0,0
2775,2,91.88,45.94,0,0
2831,2,14.600000000000001,7.300000000000001,0,0
2860,3,266.51,88.83666666666666,0,0
2862,2,116.95,58.475,0,0
2870,1,101.35,101.35,0,0
2879,1,97.66,97.66,0,0
2915,1,246.57,246.57,0,0
2948,1,11.86,11.86,0,0
2951,1,316.7,316.7,0,0
2982,1,25.88,25.88,0,0
2985,2,23.21,11.605,0,0
2998,1,12.23,12.23,0,0
3004,1,15.19,15.19,0,0
3013,1,7.8,7.8,0,0
3016,4,23.23,5.8075,0,0
3028,2,143.48000000000002,71.74000000000001,0,0
3033,2,17.259999999999998,8.629999999999999,0,0
3037,1,97.39,97.39,0,0
3061,1,47.66,47.66,0,0
3093,1,205.73,205.73,0,0
3109,2,140.76,70.38,0,0
3112,1,64.96,64.96,0,0
3117,1,3.16,3.16,0,0
3122,1,20.76,20.76,0,0
3125,1,151.32,151.32,0,0
3127,1,21.43,21.43,0,0
3137,1,20.33,20.33,0,0
3180,1,211.46,211.46,0,0
3197,1,17.04,17.04,0,0
3207,3,54.17999999999999,18.06,0,0
3211,3,41.96,13.986666666666666,0,0
3212,1,31.72,31.72,0,0
3238,4,113.78,28.445,0,0
3244,4,381.18,95.295,0,0
3245,1,56.16,56.16,0,0
3252,1,178.49,178.49,0,0
3271,1,10.27,10.27,0,0
3277,1,141.88,141.88,0,0
3286,1,13.31,13.31,0,0
3312,4,259.83000000000004,64.95750000000001,0,0
3325,1,28.58,28.58,0,0
3328,1,64.93,64.93,0,0
3335,1,9.75,9.75,0,0
3336,1,2.99,2.99,0,0
3341,1,9.88,9.88,0,0
3355,6,47.72,7.953333333333333,0,0
3364,2,9.49,4.745,0,0
3370,3,94.22,31.406666666666666,0,0
3374,1,13.5,13.5,0,0
3376,1,113.61,113.61,0,0
3382,5,214.26,42.852,0,0
3418,13,240.44,18.495384615384616,0,0
3420,1,24.99,24.99,0,0
3444,1,202.43,202.43,0,0
3469,1,13.91,13.91,0,0
3472,2,84.84,42.42,0,0
3493,5,39.11,7.822,0,0
3495,1,24.27,24.27,0,0
3511,2,114.72,57.36,0,0
3523,1,1.68,1.68,0,0
3531,8,102.19,12.77375,0,0
3537,1,3.42,3.42,0,0
3558,51,6054.5,118.7156862745098,15,1
3579,1,31.8,31.8,0,0
3586,5,83.72,16.744,0,0
3587,1,15.41,15.41,0,0
3606,1,16.06,16.06,0,0
3632,3,183.36,61.120000000000005,0,0
3637,1,104.99,104.99,0,0
3654,1,99.67,99.67,0,0
3658,1,5.16,5.16,0,0
3668,4,54.41,13.6025,0,0
3716,1,19.83,19.83,0,0
3725,1,83.6,83.6,0,0
3735,1,39.03,39.03,0,0
3754,1,26.28,26.28,0,0
3788,1,52.79,52.79,0,1
3803,1,15.48,15.48,0,0
3805,1,115.61,115.61,0,0
3822,2,129.06,64.53,0,0
3829,4,129.44,32.36,0,0
3831,7,350.23,50.03285714285715,0,0
3837,4,162.76,40.69,0,0
3847,12,381.98999999999995,31.832499999999996,0,0
3848,1,17.76,17.76,0,0
3884,1,24.3,24.3,0,0
3915,8,260.08,32.51,0,0
3919,3,27.01,9.003333333333334,0,0
3946,1,233.95,233.95,0,0
3972,2,18.48,9.24,0,0
3985,1,1.93,1.93,0,0
3997,14,1658.1200000000001,118.43714285714286,0,0
4003,1,22.27,22.27,0,0
4008,1,1.79,1.79,0,0
4020,7,389.87,55.69571428571429,0,0
4039,1,41.39,41.39,0,0
4050,1,92.79,92.79,0,0
4053,1,60.06,60.06,0,0
4069,1,135.97,135.97,0,0
4070,1,242.55,242.55,0,0
4076,8,325.53999999999996,40.692499999999995,0,0
4081,1,18.68,18.68,0,0
4086,2,17.619999999999997,8.809999999999999,0,0
4091,2,252.75,126.375,0,0
4095,1,8.99,8.99,0,0
4111,2,16.759999999999998,8.379999999999999,0,0
4128,1,26.98,26.98,0,0
4138,1,4.77,4.77,0,0
4147,2,260.86,130.43,0,0
4153,3,73.10000000000001,24.36666666666667,0,0
4162,1,173.59,173.59,0,0
4178,5,150.75,30.15,0,1
4179,1,12.9,12.9,0,0
4183,1,345.77,345.77,0,0
4226,1,35.34,35.34,0,0
4230,1,37.88,37.88,0,0
4250,1,11.88,11.88,0,0
4254,1,86.74,86.74,0,0
4265,1,22.02,22.02,0,0
4267,1,40.23,40.23,0,0
4283,1,41.91,41.91,0,0
4312,11,225.74,20.521818181818183,0,0
4314,1,65.4,65.4,0,0
4321,1,15.54,15.54,0,0
4323,2,116.67,58.335,0,0
4334,2,169.09,84.545,0,0
4345,1,20.41,20.41,0,0
4365,1,71.7,71.7,0,0
4371,2,139.62,69.81,0,0
4379,1,33.68,33.68,0,0
4392,8,87.17,10.89625,0,0
4414,1,5.61,5.61,0,0
4439,33,1963.73,59.5069696969697,0,0
4469,1,18.4,18.4,0,0
4479,4,50.89,12.7225,0,0
4537,2,27.72,13.86,0,0
4539,1,16.22,16.22,0,0
4540,1,180.56,180.56,0,0
4543,5,197.85,39.57,0,0
4547,3,25.77,8.59,0,0
4551,2,98.87,49.435,0,0
4552,1,105.98,105.98,0,0
4558,3,257.36,85.78666666666668,0,1
4569,1,49.89,49.89,0,0
4576,3,16.38,5.46,0,0
4579,1,66.82,66.82,0,0
4593,1,40.1,40.1,0,0
4596,2,89.72,44.86,0,0
4602,1,27.83,27.83,0,0
4622,1,21.2,21.2,0,0
4624,1,6.76,6.76,0,0
4637,2,165.91,82.955,0,0
4639,2,47.96,23.98,0,0
4658,1,12.79,12.79,0,0
4660,1,34.12,34.12,0,0
4683,1,35.33,35.33,0,0
4738,4,304.39,76.0975,0,0
4753,2,79.31,39.655,0,0
4802,28,4065.25,145.1875,0,0
4818,3,323.97,107.99000000000001,0,0
4846,1,59.43,59.43,0,0
4851,1,87.65,87.65,0,0
4875,1,52.71,52.71,0,0
4916,1,47.57,47.57,0,0
4936,1,12.71,12.71,0,0
4967,1,237.29,237.29,0,0
4988,3,228.59,76.19666666666667,0,0
4995,1,79.61,79.61,0,0
5005,1,15.0,15.0,0,0
5020,1,204.97,204.97,0,0
5026,3,188.39,62.79666666666666,0,0
5027,1,199.21,199.21,0,0
5030,3,13.030000000000001,4.343333333333334,0,0
5048,5,135.0,27.0,0,0
5054,1,12.97,12.97,0,0
5083,1,19.94,19.94,0,0
5101,2,52.95,26.475,0,0
5102,1,9.52,9.52,0,0
5108,1,57.73,57.73,0,0
5113,2,257.41999999999996,128.70999999999998,0,0
5134,1,257.14,257.14,0,0
5139,1,25.09,25.09,0,0
5142,3,70.66,23.55333333333333,0,0
5145,2,35.49,17.745,0,0
5147,1,29.41,29.41,0,0
5154,4,54.03,13.5075,0,0
5172,1,29.64,29.64,0,0
5206,4,32.290000000000006,8.072500000000002,0,0
5222,2,17.12,8.56,0,0
5246,1,47.47,47.47,0,0
5248,49,1145.52,23.377959183673468,13,0
5258,1,129.53,129.53,0,0
5265,1,8.53,8.53,0,0
5270,2,7.8,3.9,0,0
5299,2,295.75,147.875,0,0
5301,1,69.0,69.0,0,1
5316,4,36.89,9.2225,0,0
5338,2,38.02,19.01,0,0
5355,6,187.1,31.183333333333334,0,0
5363,2,27.87,13.935,0,0
5380,4,304.06,76.015,0,0
5393,1,27.66,27.66,0,0
5408,8,85.32,10.665,0,0
5409,2,8.75,4.375,0,0
5495,1,149.23,149.23,0,0
5499,7,116.69,16.669999999999998,0,0
5508,2,27.55,13.775,0,0
5526,1,312.67,312.67,0,0
5548,2,69.61,34.805,0,0
5573,1,17.16,17.16,0,0
5583,1,31.28,31.28,0,0
5584,1,50.51,50.51,0,0
5590,1,96.66,96.66,0,0
5594,9,6622.93,735.8811111111112,0,0
5611,1,8.51,8.51,0,0
5632,1,187.29,187.29,0,0
5637,1,4.27,4.27,0,0
5660,1,11.49,11.49,0,0
5674,1,102.93,102.93,0,0
5684,1,9.93,9.93,0,0
5697,1,244.2,244.2,0,0
5708,1,39.68,39.68,0,0
5710,1,8.08,8.08,0,0
5720,2,13.01,6.505,0,0
5743,2,198.45,99.225,0,0
5763,5,109.35,21.869999999999997,0,0
5767,1,5.19,5.19,0,0
5781,3,23.549999999999997,7.849999999999999,0,0
5786,2,68.35,34.175,0,0
5801,1,7.85,7.85,0,0
5851,1,17.58,17.58,0,0
5852,1,9.69,9.69,0,0
5854,1,18.56,18.56,0,0
5865,4,102.51,25.6275,0,0
5878,2,44.93,22.465,0,0
5891,1,13.17,13.17,0,0
5896,1,47.35,47.35,0,0
5900,7,292.07,41.72428571428571,0,0
5908,1,113.36,113.36,0,0
5909,1,50.48,50.48,0,0
5912,3,85.29,28.430000000000003,0,0
5922,1,11.47,11.47,0,0
5952,3,22.05,7.3500000000000005,0,0
5976,6,213.36,35.56,0,0
5993,1,148.81,148.81,0,0
5995,1,223.57,223.57,0,0
5998,5,26.68,5.336,0,0
6001,1,11.68,11.68,0,0
6029,1,7.98,7.98,0,0
6043,1,8.75,8.75,0,0
6063,7,5821.83,831.6899999999999,0,0
6069,1,37.81,37.81,0,0
6075,1,92.98,92.98,0,0
6080,1,143.5,143.5,0,0
6084,1,64.94,64.94,0,0
6097,5,166.32999999999998,33.266,0,0
6127,1,45.09,45.09,0,0
6134,4,493.76,123.44,0,0
6135,1,59.8,59.8,0,0
6146,1,13.03,13.03,0,0
6165,3,296.67,98.89,0,0
6167,1,73.79,73.79,0,0
6173,2,176.88,88.44,0,0
6190,4,128.65,32.1625,0,0
6204,1,30.94,30.94,0,0
6228,2,67.4,33.7,0,0
6251,1,79.25,79.25,0,0
6299,1,182.11,182.11,0,0
6305,1,16.78,16.78,0,0
6312,1,3.13,3.13,0,0
6316,3,55.230000000000004,18.41,0,0
6334,1,23.43,23.43,0,0
6335,4,221.8,55.45,0,0
6344,1,135.33,135.33,0,0
6381,1,407.0,407.0,0,0
6387,1,29.29,29.29,0,0
6450,1,177.36,177.36,0,0
6458,1,127.27,127.27,0,0
6473,6,124.19,20.698333333333334,0,0
6478,4,45.92,11.48,0,0
6483,5,49.81,9.962,0,0
6489,6,297.7,49.61666666666667,0,0
6514,1,147.9,147.9,0,0
6528,1,13.22,13.22,0,0
6535,4,230.35000000000002,57.587500000000006,0,0
6600,1,103.61,103.61,0,0
6606,1,46.51,46.51,0,0
6611,1,22.09,22.09,0,0
6686,5,403.01,80.602,0,0
6689,1,46.88,46.88,0,0
6699,1,488.09,488.09,0,0
6707,4,235.23,58.8075,0,0
6726,1,112.62,112.62,0,0
6751,1,41.45,41.45,0,0
6755,2,201.07,100.535,0,0
6762,2,384.27,192.135,0,0
6772,1,24.31,24.31,0,0
6774,2,113.83,56.915,0,0
6776,1,20.0,20.0,0,0
6807,1,80.53,80.53,0,1
6822,2,119.9,59.95,0,0
6827,7,251.06,35.86571428571428,0,0
6836,1,3.91,3.91,0,0
6850,1,24.8,24.8,0,0
6853,3,13.25,4.416666666666667,0,0
6854,3,242.33999999999997,80.77999999999999,0,0
6871,3,182.81,60.93666666666667,0,0
6900,1,63.58,63.58,0,0
6901,2,16.369999999999997,8.184999999999999,0,0
6905,1,6.39,6.39,0,0
6930,1,34.61,34.61,0,0
6944,3,203.7,67.89999999999999,0,0
6947,1,35.58,35.58,0,0
7008,2,98.16,49.08,0,0
7061,1,43.82,43.82,0,0
7082,3,110.82,36.94,0,0
7093,1,267.8,267.8,0,0
7110,2,3.29,1.645,0,0
7130,1,152.6,152.6,0,0
7131,9,284.07,31.563333333333333,0,0
7164,1,16.59,16.59,0,0
7170,1,74.95,74.95,0,0
7174,5,454.35,90.87,0,0
7178,1,36.78,36.78,0,0
7201,1,10.2,10.2,0,0
7214,2,49.63,24.815,0,0
7218,1,189.67,189.67,0,0
7221,1,38.04,38.04,0,0
7223,6,47.32,7.886666666666667,0,0
7237,2,12.21,6.105,0,0
7257,7,3784.67,540.6671428571428,0,0
7261,2,9.469999999999999,4.734999999999999,0,0
7273,1,262.15,262.15,0,0
7275,2,184.86,92.43,0,0
7290,2,69.6,34.8,0,0
7297,1,85.27,85.27,0,0
7311,2,136.26,68.13,0,0
7313,1,9.06,9.06,0,0
7345,1,35.52,35.52,0,0
7376,4,553.14,138.285,0,0
7395,1,15.97,15.97,0,0
7409,1,7.74,7.74,0,0
7463,2,197.4,98.7,0,0
7470,4,124.11,31.0275,0,0
7472,1,35.02,35.02,0,0
7486,1,76.73,76.73,0,0
7505,2,80.81,40.405,0,0
7506,1,51.94,51.94,0,0
7517,2,32.93,16.465,0,0
7527,1,22.59,22.59,0,0
7549,1,105.82,105.82,0,0
7587,1,35.97,35.97,0,0
7591,5,125.05,25.009999999999998,0,0
7613,1,1.54,1.54,0,0
7645,1,129.79,129.79,0,0
7660,1,205.44,205.44,0,0
7710,1,133.89,133.89,0,0
7748,3,137.39,45.79666666666666,0,0
7754,1,203.78,203.78,0,0
7757,1,71.36,71.36,0,0
7767,1,75.7,75.7,0,0
7770,1,164.82,164.82,0,0
7774,1,10.4,10.4,0,0
7777,73,3304.09,45.26150684931507,29,0
7787,1,2.06,2.06,0,0
7791,6,55.129999999999995,9.188333333333333,0,1
7793,1,28.0,28.0,0,0
7804,2,266.72,133.36,0,0
7809,1,26.65,26.65,0,0
7821,1,8.31,8.31,0,0
7833,1,87.94,87.94,0,0
7837,1,14.68,14.68,0,0
7865,2,44.46,22.23,0,0
7871,1,7.91,7.91,0,0
7886,4,150.28,37.57,0,0
7911,1,96.32,96.32,0,0
7933,1,8.88,8.88,0,0
7936,2,189.11,94.555,0,0
7950,1,39.43,39.43,0,0
7980,1,928.69,928.69,0,0
7998,2,35.269999999999996,17.634999999999998,0,0
7999,3,209.79000000000002,69.93,0,1
8014,1,23.31,23.31,0,0
8018,2,20.71,10.355,0,0
8021,12,461.96,38.49666666666666,0,0
8036,1,76.98,76.98,0,0
8044,11,1040.9,94.62727272727274,0,0
8072,1,3.9,3.9,0,0
8136,3,24.509999999999998,8.17,0,0
8168,3,32.15,10.716666666666667,0,0
8174,1,29.16,29.16,0,0
8192,6,146.71,24.451666666666668,0,0
8194,2,384.51,192.255,0,0
8203,1,5.88,5.88,0,0
8207,5,499.03,99.806,0,0
8222,1,174.73,174.73,0,0
8240,1,49.7,49.7,0,0
8246,1,127.22,127.22,0,0
8253,2,177.16000000000003,88.58000000000001,0,0
8265,3,32.4,10.799999999999999,0,0
8271,1,236.03,236.03,0,0
8279,2,89.49,44.745,0,0
8286,1,38.23,38.23,0,0
8293,2,22.259999999999998,11.129999999999999,0,0
8359,1,84.06,84.06,0,0
8364,2,104.18,52.09,0,0
8365,4,167.84,41.96,0,0
8371,2,145.35999999999999,72.67999999999999,0,0
8372,1,23.56,23.56,0,0
8380,1,44.53,44.53,0,0
8414,1,47.42,47.42,0,0
8418,1,43.03,43.03,0,0
8423,4,26.43,6.6075,0,0
8429,1,9.26,9.26,0,0
8450,2,45.66,22.83,0,0
8455,4,3.6900000000000004,0.9225000000000001,0,0
8461,1,12.3,12.3,0,0
8471,1,36.78,36.78,0,0
8479,1,16.22,16.22,0,0
8480,1,58.38,58.38,0,0
8489,4,156.85999999999999,39.214999999999996,0,0
8512,2,13.81,6.905,0,0
8529,2,72.4,36.2,0,0
8547,2,24.91,12.455,0,0
8549,1,26.65,26.65,0,0
8555,7,197.74,28.24857142857143,0,0
8580,2,106.16,53.08,0,0
8584,1,196.25,196.25,0,0
8586,3,169.51,56.50333333333333,0,0
8594,1,11.62,11.62,0,0
8623,1,243.17,243.17,0,0
8628,1,19.51,19.51,0,0
8649,1,22.73,22.73,0,0
8702,1,44.61,44.61,0,0
8706,2,245.20999999999998,122.60499999999999,0,0
8712,6,295.3,49.21666666666667,0,0
8729,2,5.67,2.835,0,0
8773,1,2.19,2.19,0,0
8778,1,41.35,41.35,0,0
8797,3,55.81,18.603333333333335,0,0
8799,1,76.98,76.98,0,0
8813,6,104.42,17.403333333333332,0,0
8815,1,5.83,5.83,0,0
8860,1,192.59,192.59,0,0
8862,3,140.3,46.76666666666667,0,0
8863,1,30.93,30.93,0,0
8873,1,49.14,49.14,0,0
8876,1,15.24,15.24,0,0
8899,1,126.46,126.46,0,0
8919,1,9.59,9.59,0,0
8948,12,1049.12,87.42666666666666,0,0
8968,4,190.32,47.58,0,0
8972,3,108.75,36.25,0,0
8980,1,34.0,34.0,0,0
8982,1,5.9,5.9,0,0
8987,1,15.13,15.13,0,0
8991,1,14.51,14.51,0,0
8992,2,56.37,28.185,0,0
8998,1,56.93,56.93,0,0
9023,2,83.86,41.93,0,0
9027,1,156.03,156.03,0,0
9028,8,204.79,25.59875,0,0
9034,1,3.94,3.94,0,0
9041,3,129.05,43.01666666666667,0,0
9048,1,110.55,110.55,0,0
9051,1,61.84,61.84,0,1
9058,1,9.91,9.91,0,0
9064,1,102.4,102.4,0,0
9073,1,18.47,18.47,0,1
9078,4,136.35000000000002,34.087500000000006,0,0
9083,1,74.04,74.04,0,0
9092,1,70.0,70.0,0,0
9104,1,6.98,6.98,0,0
9109,6,527.13,87.855,0,0
9116,1,22.97,22.97,0,0
9126,1,103.34,103.34,0,0
9130,2,11.2,5.6,0,0
9155,1,10.04,10.04,0,0
9164,1,15.31,15.31,0,0
9172,1,125.1,125.1,0,1
9191,2,53.38,26.69,0,0
9205,1,13.25,13.25,0,0
9237,1,49.45,49.45,0,0
9238,2,68.14,34.07,0,0
9245,2,210.54000000000002,105.27000000000001,0,0
9254,1,2.19,2.19,0,0
9263,5,440.42,88.084,0,0
9268,1,5.06,5.06,0,0
9270,1,41.5,41.5,0,0
9296,1,132.84,132.84,0,0
9303,1,62.04,62.04,0,0
9307,4,13.48,3.37,0,0
9343,1,18.22,18.22,0,0
9374,2,62.04,31.02,0,0
9439,1,21.11,21.11,0,0
9445,2,42.019999999999996,21.009999999999998,0,0
9447,1,55.26,55.26,0,0
9463,1,36.27,36.27,0,0
9499,1,13.39,13.39,0,0
9520,1,46.89,46.89,0,0
9547,6,275.74,45.95666666666667,0,0
9556,1,31.75,31.75,0,0
9568,1,116.03,116.03,0,0
9570,1,27.6,27.6,0,0
9571,1,246.93,246.93,0,0
9580,1,22.94,22.94,0,0
9587,1,2.52,2.52,0,0
9591,1,137.53,137.53,0,0
9600,1,0.23,0.23,0,0
9638,4,407.47,101.8675,0,0
9640,1,200.87,200.87,0,0
9649,2,219.14,109.57,0,0
9714,1,227.5,227.5,0,0
9716,2,19.91,9.955,0,1
9732,1,57.57,57.57,0,0
9750,1,3.15,3.15,0,0
9759,2,29.92,14.96,0,0
9765,2,176.39999999999998,88.19999999999999,0,0
9783,2,89.37,44.685,0,0
9786,1,14.21,14.21,0,0
9850,1,13.1,13.1,0,0
9893,1,36.08,36.08,0,0
9898,1,10.21,10.21,0,0
9900,1,11.48,11.48,0,0
9917,3,155.32,51.77333333333333,0,0
9919,2,271.92,135.96,0,0
9922,1,1312.57,1312.57,0,0
9929,1,54.45,54.45,0,0
9931,1,43.8,43.8,0,0
9932,278,16260.15,58.48974820143885,0,12
9937,1,140.11,140.11,0,0
9946,1,40.84,40.84,0,0
9954,3,45.980000000000004,15.326666666666668,0,0
9984,1,15.45,15.45,0,0
9987,1,15.43,15.43,0,0
10005,1,15.86,15.86,0,0
10044,1,18.67,18.67,0,0
10045,1,31.82,31.82,0,0
10054,8,581.66,72.7075,0,0
10059,2,70.65,35.325,0,0
10106,7,287.55,41.07857142857143,0,0
10112,1,5.49,5.49,0,0
10126,3,168.25,56.083333333333336,0,0
10128,1,68.6,68.6,0,0
10147,1,57.17,57.17,0,0
10153,1,13.02,13.02,0,0
10156,7,250.25,35.75,0,0
10162,1,8.94,8.94,0,0
10173,11,105.57,9.597272727272726,0,0
10178,1,1.1,1.1,0,0
10186,7,388.32,55.47428571428571,0,0
10210,2,18.759999999999998,9.379999999999999,0,0
10213,1,11.99,11.99,0,0
10215,1,31.96,31.96,0,0
10233,1,25.38,25.38,0,0
10244,2,91.6,45.8,0,0
10277,1,48.93,48.93,0,0
10296,4,239.62,59.905,0,0
10297,2,8.14,4.07,0,0
10300,2,110.01,55.005,0,0
10305,3,236.19,78.73,0,0
10335,1,84.24,84.24,0,0
10379,1,106.14,106.14,0,0
10388,5,804.1899999999999,160.838,0,0
10412,1,68.17,68.17,0,0
10423,4,102.07000000000001,25.517500000000002,0,0
