year,month,total_transactions,total_spend,avg_transaction,refunds,failed_transactions
2018,10,428,18592.29,43.439929906542055,16,3
2018,11,461,20819.63,45.16188720173536,24,5
2018,12,476,20010.34,42.038529411764706,17,4
2019,1,416,17537.63,42.15776442307693,22,9
2019,2,404,16859.28,41.73089108910891,20,10
2019,3,430,18061.01,42.0023488372093,23,6
2019,4,471,21258.57,45.13496815286624,31,9
2019,5,423,17456.67,41.26872340425531,23,6
2019,6,451,17326.78,38.418580931263854,26,9
2019,7,439,18716.2,42.63371298405467,21,9
2019,8,420,16754.43,39.8915,25,9
2019,9,421,15174.49,36.04391923990499,29,5
2019,10,400,16743.34,41.85835,19,0
